	Phylum	Class	Order	Family	Genus	Species	3SppN.1.1	3SppN.1.2	3SppN.2.1	3SppN.2.2	3sppN.3.1	3sppN.3.2	3sppN.4.1	3sppN.4.2	6Spp.1.1	6Spp.1.2	6spp.2.1	6spp.2.2	6spp.3.1	6spp.3.2	6Spp.4.1	6Spp.4.2	Canola.1.1	Canola.1.2	Canola.2.1	Canola.2.2	Canola.3.1	Canola.3.2	Canola.4.1	Canola.4.2	Clover.1.1	Clover.1.2	Clover.2.1	Clover.2.2	Clover.3.1	Clover.3.2	Clover.4.1	Clover.4.2	Fallow.1.1	Fallow.1.2	Fallow.2.1	Fallow.2.2	Fallow.3.1	Fallow.3.2	Fallow.4.1	Fallow.4.2	Oat.1.1	Oat.1.2	Oat.2.1	Oat.2.2	Oat.3.1	Oat.3.2	Oat.4.1	Oat.4.2	Pea.1.1	Pea.1.2	Pea.2.1	Pea.2.2	Pea.3.1	Pea.3.2	Pea.4.1	Pea.4.2	Radish.1.1	Radish.1.2	Radish.2.1	Radish.2.2	Radish.3.1	Radish.3.2	Radish.4.1	Radish.4.2	Rye.1.1	Rye.1.2	Rye.2.1	Rye.2.2	Rye.3.1	Rye.3.2	Rye.4.1	Rye.4.2
OTU_10	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	crenulatus	0.000526622	0.000687124	0.000533449	0.001817955	0.000814262	0.004171625	0.000441709	0.001637948	0.000543487	0.000339282	0.000539976	0.000563128	0.000423985	0.000573882	0.000767317	0.077666774	0.000647571	0.001491619	0.000701001	0.01094386	0.000615745	0.07141908	0.000721259	0.000476298	0.000683811	0.000573595	0.000499673	0.007725583	0.000938192	0.001614001	0.000686235	0.298846491	0.00055112	0.000891131	0.000954198	0.038107743	0.000543857	0.002376938	0.000622261	0.000604314	0.000482482	0.000648221	0.000770693	0.001058025	0.000608569	0.000538884	0.000516983	0.000267214	0.000525194	0.000615858	0.000651631	0.000651586	0.000588387	0.000601893	0.000871185	0.002958078	0.026577189	0.00059049	0.000765896	0.002033174	0.001131001	0.006614114	0.00308539	0.007277239	0.000768432	0.000456684	0.000418276	0.001720717	0.000920137	0.000538693	0.001038164	0.003694504
OTU_10030	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Lomentospora	prolificans	0.0000545	0.000321633	0.0000721	0.000291428	0.000149996	0.000433961	0.000500604	0.00093909	0.000135872	0.000271426	0.000330953	0.000430628	0.000605694	0.000239117	0.000511545	0.000244924	0.000323785	0.0000947	0.00017525	0.000327746	0.000131945	0.000132886	0.000566704	0.000261964	0.000174305	0.000111921	0.000637513	0.00168005	0.000225166	0.000804189	0.000863328	0.000142116	0.000282281	0.000332286	0.000232731	0.002272006	0.000373902	0.000162526	0.000388913	0.000418371	0.000614669	0.000379447	0.000680779	0.000368526	0.000660732	0.0000889	0.000153995	0.000437259	0.000108128	0.00034642	0.001096648	0.000858909	0.000294193	0.000255349	0.000270368	0.00018488	0.000591261	0.000277169	0.000144509	0.002325717	0.0004485	0.000323957	0.000138982	0.00019359	0.0000871	0.000411015	0.0000182	0.000775098	0.000377492	0.000892211	0.000248257	0.000927556
OTU_101	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Tetracladium	sp.	0.008244352	0.003172468	0.001802191	0.004676723	0.002078512	0.001063904	0.003680909	0.007840311	0.009171351	0.00189998	0.006235847	0.009573182	0.006682818	0.001923567	0.008952031	0.005117628	0.00220174	0.001373236	0.001971566	0.000394245	0.001656649	0.002332895	0.005615517	0.002024267	0.007012416	0.00569398	0.001481788	0.003161668	0.002064022	0.002170747	0.003099128	0.001054028	0.003158857	0.002960367	0.001605846	0.000671275	0.001733544	0.001422099	0.004226192	0.00433479	0.004441478	0.006814229	0.007141756	0.00126012	0.004433857	0.0011007	0.017093453	0.00394748	0.011492477	0.003964588	0.008709611	0.010817815	0.005883867	0.002061028	0.020232516	0.00677893	0.003148466	0.002735533	0.003106936	0.005207267	0.007176007	0.006533125	0.012258172	0.021708523	0.001267517	0.001096041	0.000378267	0.003270912	0.002548071	0.000917462	0.002753391	0.000429715
OTU_10184	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	sp.	0.006737125	0.004385901	0.012946943	0.004926519	0.006578383	0.005235529	0.021054801	0.010941492	0.013553219	0.004139241	0.022243512	0.017009788	0.007631738	0.003076645	0.018717883	0.015688044	0.004597751	0.004972062	0.009178733	0.001895226	0.006949128	0.003469813	0.014914608	0.004358129	0.027352444	0.007428755	0.004393673	0.004378712	0.008743949	0.005016337	0.005600567	0.00972311	0.01244724	0.014575278	0.017803947	0.001622862	0.004809735	0.017674664	0.042987892	0.009913072	0.005664206	0.009786561	0.009402456	0.003744695	0.009702323	0.00171411	0.00687478	0.009583268	0.010905496	0.01091224	0.008344061	0.014934656	0.01230096	0.006702902	0.012376832	0.028240406	0.006518654	0.010231134	0.007210983	0.020682796	0.011349011	0.004355416	0.01498221	0.00987311	0.006709921	0.006073891	0.001363944	0.018633348	0.003090716	0.003004899	0.012638516	0.001587851
OTU_102	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	sp.	0.000435825	0.002061373	0.000735294	0.001193466	0.001714237	0.005382516	0.00097176	0.001506912	0.000560471	0.00359639	0.011478836	0.00337877	0.001130628	0.00099898	0.000999837	0.003789881	0.000410128	0.000378824	0.005147977	0.000379995	0.001392758	0.0000886	0.000309111	0.001107393	0.000335202	0.001482953	0.000379062	0.000740809	0.003602657	0.001355311	0.002235799	0.000829011	0.002217921	0.022459522	0.004840812	0.000376209	0.001546593	0.002031571	0.001192668	0.000302157	0.000264374	0.000711462	0.000976211	0.00057062	0.001790931	0.000613411	0.001121964	0.004955606	0.017501313	0.001558891	0.005594495	0.000814483	0.000625161	0.000565415	0.002268085	0.003897885	0.000413883	0.006977417	0.000447977	0.006333558	0.003588004	0.000890881	0.000667111	0.000263987	0.000507007	0.00054802	0.000385541	0.003115893	0.000613425	0.000412437	0.007673385	0.00024106
OTU_103	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	spirale	0.00056294	0.000657885	0.000634371	0.000180408	0.000492843	0.000391965	0.000677287	0.001419555	0.000747295	0.003935672	0.000661906	0.001689385	0.000565314	0.000244431	0.000860325	0.000399613	0.001187213	0.000213088	0.00289163	0.000284996	0.000703709	0.000310068	0.002138018	0.000357224	0.000362018	0.000391723	0.002170991	0.001230273	0.000544151	0.000146216	0.001195378	0.000106587	0.000618329	0.001238521	0.0015593	0.000213923	0.000288924	0.000771997	0.000803754	0.00040675	0.000363514	0.000679842	0.001644145	0.000475517	0.000608569	0.0000946	0.00029699	0.001153879	0.000834131	0.000577367	0.000937714	0.001680797	0.000330968	0.000629252	0.000585797	0.000477606	0.000561698	0.0000964	0.032991329	0.002779159	0.000624001	0.000359952	0.000833889	0.00039598	0.000190128	0.003836142	0.00008	0.002077262	0.000967323	0.000361935	0.004084949	0.0002463
OTU_1049	Ascomycota	Sordariomycetes	Sordariales	Cephalothecaceae	Phialemonium	atrogriseum	0.00029055	0.000102338	0.0000721	0.001429384	0.000192852	0.000098	0.000441709	0.000152875	0.0004246	0.000542851	0.00012193	0.0000828	0.000100949	0.0000478	0.00011626	0.0000516	0.000777085	0.0000237	0.002584942	0.000057	0.000102624	0.0000443	0.000283352	0.0000714	0.0000939	0.000028	0.0000689	0.0000265	0.0000375	0.0000281	0.000243503	0.000153959	0.000268839	0.000181247	0.000395643	0.0000885	0.000051	0.0000813	0.000881537	0.000255671	0.000105749	0.0000632	0.000154139	0.000451741	0.000139101	0.0000115	0.000077	0.000182191	0.000262597	0.000327175	0.0000795	0.0000666	0.000514838	0.001176428	0.000240327	0.0000616	0.001611187	0.000228965	0.000346821	0.004124857	0.0001365	0.000081	0.0000278	0.0000792	0.00023766	0.000776362	0.0000582	0.000201525	0.000212339	0.0000673	0.000135413	0.0000891
OTU_107	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thielavia	sp.	0.000944287	0.000833321	0.00122549	0.001887342	0.00083569	0.002519773	0.000441709	0.000698858	0.001154911	0.000882133	0.001933461	0.001937824	0.000484555	0.00661027	0.000883577	0.000476958	0.001338312	0.00127853	0.002847817	0.00159598	0.000293212	0.001122152	0.001313722	0.000535835	0.00262798	0.001273101	0.00382508	0.006667284	0.00048786	0.000770446	0.000641962	0.001207987	0.001613033	0.001857782	0.002048036	0.002773618	0.000815785	0.000670418	0.00106303	0.000522964	0.000912089	0.003462451	0.004534244	0.019626957	0.000921547	0.000186316	0.000252992	0.002987939	0.001173963	0.004214781	0.01579809	0.002273148	0.000478064	0.000784285	0.00036049	0.000801146	0.00300065	0.001964281	0.000447977	0.00580698	0.001326001	0.000728902	0.000611519	0.000853558	0.000364411	0.001096041	0.00016731	0.002325293	0.000401085	0.00066495	0.000789907	0.000298705
OTU_10790	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	polyphialidicum	0.000217912	0.000233915	0.000158593	0.00022204	0.000342847	0.000608945	0.000500604	0.000349429	0.000118888	0.000271426	0.000156767	0.000231876	0.001594993	0.000345392	0.009068291	0.003738318	0.001770026	0.0000474	0.000153344	0.000142498	0.001143527	0.0000738	0.004327555	0.000130982	0.002346411	0.000125911	0.000775354	0.000926012	0.00048786	0.00077607	0.000420596	0.009616523	0.000201629	0.000724988	0.000256004	0.000118026	0.001699553	0.000507893	0.00020742	0.000371885	0.000112359	0.000284585	0.000333967	0.00126012	0.000382529	0.000306705	0.000978969	0.000267214	0.000664216	0.001597383	0.000365549	0.000199919	0.000661935	0.000775166	0.000736001	0.000385166	0.005676107	0.000132559	0.0000723	0.000292543	0.001755002	0.001025863	0.000305759	0.000774362	0.010108452	0.00027401	0.00004	0.000217027	0.000353899	0.000496608	0.000609357	0.000136251
OTU_108	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	crassispora	0.005847316	0.005672432	0.011966551	0.010422015	0.001628525	0.001245888	0.000559498	0.003843718	0.004110124	0.00359639	0.001532834	0.002832204	0.002503533	0.000935215	0.001441626	0.00171447	0.003237853	0.001112795	0.000832439	0.000294496	0.005600352	0.000782553	0.002163777	0.000452483	0.004062642	0.004952504	0.001085496	0.00157422	0.002889631	0.000764823	0.002257936	0.000900069	0.001922198	0.001223417	0.001466207	0.000383585	0.001954486	0.001483047	0.002411263	0.000662421	0.002148036	0.005675889	0.003455274	0.000594396	0.002364724	0.000573281	0.000395987	0.000546574	0.001807285	0.002117013	0.002654206	0.003428233	0.00233516	0.000729568	0.000525715	0.000816553	0.001788565	0.000988166	0.002687861	0.003539771	0.005323505	0.002042726	0.011952413	0.002463878	0.000736745	0.001050372	0.000192771	0.001968748	0.00188746	0.001094221	0.001060733	0.000220098
