	MP	Gravimetric.Water	pH	EC	POXC	Sand	Silt	Clay	Phosphorous	Potassium	Magnesium	Calcium	CEC	CECK(perc)	CECMg(perc)	CECCa(perc)	OM	zinc	copper	sulfur	NO3	NH4 
3SppN-1-1	200	18.50961538	6.85	40.4	327.92	20.05347594	49.38884645	30.55767762	21	86	193	1072	7.188846154	3.1	22.4	74.6	1.97	1.380101681	2.831104994	5.053094864	0.151100651	2.057612088
3SppN-1-2	59	19.75460123	6.73	155.7	359.69	20.05347594	49.38884645	30.55767762	21	86	193	1072	7.188846154	3.1	22.4	74.6	1.97	1.380101681	2.831104994	5.053094864	0.726470618	2.551235469
3SppN-2-1	200	16.19479049	6.99	49.4	310.40	28.21007917	44.41011778	27.37980305	20	85	120	955.3	5.994448718	3.6	16.7	79.7	1.72	1.043849707	4.384539604	4.425087452	0.166037741	1.626510553
3SppN-2-2	64	19.09307876	6.67	108.4	327.45	28.21007917	44.41011778	27.37980305	20	85	120	955.3	5.994448718	3.6	16.7	79.7	1.72	1.043849707	4.384539604	4.425087452	0.046928089	2.053871765
3sppN-3-1	310	16.83417085	6.66	47	281.37	42.98181818	32.47272727	24.54545455	40	112	115	1027.9	6.385012821	4.5	15	80.5	2.33	1.321979165	5.808840275	6.950078487	0.375474467	4.557791376
3sppN-3-2	53	19.56257594	6.64	116.2	331.50	42.98181818	32.47272727	24.54545455	40	112	115	1027.9	6.385012821	4.5	15	80.5	2.33	1.321979165	5.808840275	6.950078487	0.707859152	2.288494699
3sppN-4-1	120	15.4589372	6.87	41.1	267.71	47.32809807	31.87128903	20.80061291	28	94	96	952.3	7.802525641	3.1	10.3	61	1.86	1.55541873	6.037873745	6.779491425	0.426433017	1.913034315
3sppN-4-2	36	16.33835458	6.57	89.8	279.19	47.32809807	31.87128903	20.80061291	28	94	96	952.3	7.802525641	3.1	10.3	61	1.86	1.55541873	6.037873745	6.779491425	1.674556027	2.68426237
6Spp-1-1	310	13.55191257	6.63	50.6	257.58	26.00308642	45.0617284	28.93518519	22	124	78	946	5.697948718	5.6	11.4	83	1.61	1.203474045	2.377193689	5.783121109	0.074616048	2.373056046
6Spp-1-2	500	13.69248036	6.86	78.6	231.44	26.00308642	45.0617284	28.93518519	22	124	78	946	5.697948718	5.6	11.4	83	1.61	1.203474045	2.377193689	5.783121109	0.612042644	2.082762501
6spp-2-1	130	16.55092593	7	44.4	296.16	33.16090892	40.64289673	26.19619435	25	85	118	954.7	5.974782051	3.6	16.5	79.9	1.87	1.236698508	4.670670033	5.410950184	0.048136529	1.454603385
6spp-2-2	64	17.7956372	6.59	86.4	313.35	33.16090892	40.64289673	26.19619435	25	85	118	954.7	5.974782051	3.6	16.5	79.9	1.87	1.236698508	4.670670033	5.410950184	0.348606839	1.54935962
6spp-3-1	140	16.01941748	6.93	53.2	276.31	40.50558495	35.97883598	23.51557907	36	82	94	954.3	5.765089744	3.6	13.6	82.8	1.87	0.850975513	4.861125469	5.677347183	0.08247799	1.715505904
6spp-3-2	45	16.66666667	6.8	133.7	288.16	40.50558495	35.97883598	23.51557907	36	82	94	954.3	5.765089744	3.6	13.6	82.8	1.87	0.850975513	4.861125469	5.677347183	0.440565419	1.924639035
6Spp-4-1	130	14.48275862	7.57	59	258.90	47.18973972	30.44134289	22.36891739	22	101	148	1522.6	9.105307692	2.8	13.5	83.6	1.7	1.872933507	6.527254581	6.624014378	0.336855301	1.270885179
6Spp-4-2	35	14.95535714	7.2	90.7	278.34	47.18973972	30.44134289	22.36891739	22	101	148	1522.6	9.105307692	2.8	13.5	83.6	1.7	1.872933507	6.527254581	6.624014378	0.558300831	2.271568113
Canola-1-1	310	16.96969697	6.59	72.4	308.23	20.87151293	43.4941967	35.63429037	19	126	99	959.9	7.947576923	4.1	10.4	60.4	1.93	1.254674196	2.544676781	5.890946388	0.074939061	1.379596326
